Paper_ID,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO.1,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Included in text?,Hazard_type,Scale,Country,Study_area,Method_category,Method,Specific_methods,Data,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign.1,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,Unnamed: 88,Scale_Label
111,J,"Lu, Jiatong; Qian, Tanrui; Su, Xiaoling; Wu, Haijiang; Singh, Vijay P.",,,,"; Singh, Vijay/ACU-9912-2022","Wu, Haijiang/0000-0001-6380-5998;",,,,,Probabilistic Assessment of the Impact of Compound Dry and Hot Events on Vegetation Drought Over Northwestern China,,,,,,,,ECOHYDROLOGY,,,,18.0,2,,,,,e70008,,,10.1002/eco.70008,,,,,,,Article,MAR 2025,2025,"Climate extremes have garnered considerable attention recently because of their devastating effects on both water resources and vegetation health. The vegetation responses to climate extremes, such as high temperatures (hot events), droughts (dry events) and compound dry and hot events (CDHEs), have been extensively evaluated. However, the risk of vegetation drought considering different severity levels of individual and compound climate extremes is not well assessed. In this study, we employed the meta-Gaussian (MG) model, a multivariate approach, to evaluate the response of vegetation drought [characterized by the Standardized Normalized Difference Vegetation Index (SNDVI)] to dry events, hot events and CDHEs. The study found that the dominant factor of vegetation drought, in the central and northwestern parts of Northwestern China (NWC), was the dry events. Conversely, in the southern NWC, temperature exerted a substantial influence on vegetation drought. Relative to individual dry events (hot events), the conditional probability of vegetation drought under CDHEs had decreased (increased) by approximately 24% (17%). Furthermore, the response of grassland to both individual and compound climate extremes was sensitive, whereas forests demonstrated greater resilience to droughts. These findings help us better understand the influence that various severity levels of climate extremes exert on vegetation dynamics.",1 meta-Gaussian model,dry-hot,Regional,China,Northwestern China,Data-driven methods,Multivariate dependence modeling,meta-Gaussian model,,,,,,,,,,1,0,0,0,1,0,1,18,29,1936-0584,1936-0592,,,,,,,,,,,,,,2025-03-23,WOS:001446046100001,,,Regional-scale
123,J,"Rak, Gasper; Novak, Gorazd; Cetina, Matjaz; Kosic, Mirko; Anzlin, Andrej; Rossi, Nicola; Kovacevic, Meho Sasa; Bacic, Mario",,,,"Rak, Gasper/MIQ-3575-2025; Novak, Gorazd/AAO-4424-2020; Bačić, Mario/AAS-3566-2021; Kovacevic, Meho/O-8354-2019; Rossi, Nicola/KVC-1198-2024; Kosič, Mirko/AAG-2249-2020",,,,,,Cross-Border Cascading Hazard Scenarios and Vulnerability Assessment of Levees and Bridges in the Sava River Basin,,,,,,,,INFRASTRUCTURES,,,,10.0,8,,,,,214,,,10.3390/infrastructures10080214,,,,,,,Article,AUG 14 2025,2025,"This study investigates cross-border cascading hazards and infrastructure vulnerabilities in the Sava River Basin, a seismically active and flood-prone region spanning the Slovenia-Croatia border. Conducted within the CROSScade project, the research focuses on assessing cross-border hazards and the vulnerabilities of levees and bridges. Key earthquake and flood scenarios were identified using advanced hydraulic and seismic modelling, forming the basis for evaluating the cascading effects of these events, including the potential failure of hydropower plants and associated flood protection systems. The analysis reveals that levees are particularly vulnerable to failure during the recession phase of flooding that follows an earthquake. At the same time, bridges are primarily affected by seismic loading, with minimal structural impact from flood forces. These findings underscore the pressing need for enhanced cross-border collaboration, updated design standards, and the reinforcement of critical infrastructure. The study provides essential insights for multi-hazard resilience planning and emphasises the importance of integrated risk assessments in managing cascading disaster impacts across national boundaries.",1 cascading physical,earth,Regional,Slovenia–Croatia,Sava River Basin,Physics-based methods,Earthquake model | Hydraulic model,MIKE FLOOD | HEC-RAS | employing advanced numerical simulations using a ground-motion prediction equation (GMPE),,,,,,,,,,0,0,0,0,0,0,0,1,1,,2412-3811,,,,,,,,,,,,,,2025-09-04,WOS:001557680200001,,,Regional-scale
124,J,"Wong, Joel; Munnich, Matthias; Gruber, Nicolas",,,,"Gruber, Nicolas/B-7013-2009; Wong, Joel/V-8508-2019",,,,,,Compound Marine Heatwaves and Acidity Extremes in the Southern Ocean,,,,,,,,GLOBAL BIOGEOCHEMICAL CYCLES,,,,39.0,10,,,,,e2025GB008630,,,10.1029/2025GB008630,,,,,,,Article,OCT 2025,2025,"Compound extremes of temperature and acidity that extend over substantial fractions of the water column can be particularly damaging to marine organisms, as they experience not only additional stress by the potentially synergistic effects of these two stressors, but also a reduction in habitable vertical space. Here, we detect and analyze such column-compound extremes (CCX) in the Southern Ocean between 1980 and 2019, and characterize their duration, intensity, and spatial extent. To this end, we use daily output from a hindcast simulation of the Regional Ocean Modeling System (ROMS), coupled with the Biological Elemental Cycling (BEC) model. We first detect extremes in temperature and acidity ([]) within the top 300 m using a relative threshold of 95% and then identify CCX where conditions are extreme for both stressors for at least 50 m of the water column. When analyzed on a fixed baseline, positive trends in ocean warming and acidification caused CCX to last longer, intensify, and expand throughout the Southern Ocean. In the Antarctic zone, CCX expanded between 1980 and 2019 more than ten times in volume, lasted up to 120 days longer, and doubled in anomaly. Some of the largest and longest events occurred in Antarctic Marine Protected Areas (MPAs), covering more than 200,000 km2 and persisting for over 500 days. CCX in the Subantarctic and Northern zones quadrupled in volume and increased by more than 30% in anomaly. Across the Southern Ocean, the increasing occurrence of CCX exacerbates the risks to marine ecosystems from warming and acidification.","1 use daily output from a hindcast simulation of the Regional Ocean Modeling System (ROMS), coupled with the Biological Elemental Cycling (BEC) model",marine heatwave-acidity extreme,Regional,Regional,Southern ocean,Physics-based methods,Ocean model,Regional Ocean Modeling System (ROMS) | Biological Elemental Cycling (BEC) model,,,,,,,,,,0,0,0,0,0,0,0,3,3,0886-6236,1944-9224,,,,,,,,,,,,,,2025-10-26,WOS:001596597400001,,,Regional-scale
129,J,"Zhou, Ziying; Yang, Saini; Wang, Siqin; Liu, Xiaoyan; Hu, Fuyu; Wu, Yaqiao; Chen, Yu",,,,,"Liu, Xiaoyan/0000-0002-4895-663X",,,,,"ComHazAsTC-RRE: Compound Hazard Assessment of Tropical Cyclones within Repeatable, Reproducible, and Expandable Framework",,,,,,,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,,,,136.0,,,,,,104314,,,10.1016/j.jag.2024.104314,,,,,DEC 2024,,Article,FEB 2025,2025,"Compound hazards caused by tropical cyclones involve interactions among multiple hazards, such as wind, rainfall, and storm surge, significantly increasing the uncertainty and destructiveness of disasters. Existing studies primarily focus on probabilistic analyses of single or dual hazards associated with tropical cyclones, revealing limitations in handling high-dimensional data and complex dependencies. This study developed the ComHazAsTC-RRE (Compound Haz ard Assessment of Tropical Cyclones within Repeatable, Reproducible, and Expandable Framework) model to analyze the compound hazards of wind, rainfall, and storm surge induced by tropical cyclones and successfully applied it to China's coast. We collected globally accessible daily records of maximum wind speed, cumulative rainfall, and maximum storm surge for China's coastal areas from 1979 to 2018. Using a C-Vine Copula with wind speed as the core, incorporating rainfall and storm surge as branches, we accurately captured complex dependencies of tropical cyclones. Our various return period analyses underscore the importance of considering multiple hazards and their interactions. Additionally, the application of Compound Hazard Index in China reveals that southeastern coastal areas are subjected to significantly higher compound hazards, driven by high wind speeds and strong spatial-temporal consistency of hazards. An in-depth analysis of failure probabilities indicates that neglecting the interactions among hazards can result in substantial additional cost for engineering projects, especially during severe tropical cyclones. This study offers new perspectives and scientific tools for understanding and addressing compound hazards, formulating effective disaster prevention and mitigation strategies, and supporting the sustainable development of coastal regions worldwide.","1 C-vine structure: Considering the dominant role of wind over rain and surge during tropical cyclones, we constructed a C-Vine structure centering on wind speed  with rainfall  and storm surge  as branches",rainfall-wind-storm surge,Regional,China,China's coastal areas,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,4,10,1569-8432,1872-826X,,,,,,,,,,,,,,2025-01-13,WOS:001392528000001,,,Regional-scale
157,J,"Amorim, Renato; Villarini, Gabriele; Kim, Hanbeen; Jane, Robert A.; Wahl, Thomas",,,,"Villarini, Gabriele/F-8069-2016; Kim, Hanbeen/KPY-3177-2024; Wahl, Thomas/ABE-6405-2020","Villarini, Gabriele/0000-0001-9566-2370; Kim, Hanbeen/0000-0002-7302-4324; Amorim, Renato/0000-0001-8600-5627; Jane, Robert/0000-0003-4194-852X",,,,,A Practitioner's Approach to Process-Driven Modeling of Compound Rainfall and Storm Surge Extremes for Coastal Texas,,,,,,,,JOURNAL OF HYDROLOGIC ENGINEERING,,,,30.0,5,,,,,4025025,,,10.1061/JHYEFF.HEENG-6482,,,,,,,Article,OCT 1 2025,2025,"Coastal Texas is no stranger to riverine and coastal flooding and, while these events can be catastrophic on their own, they can have an even larger impact when they occur together, as in the case of compound extremes. While the emphasis has been on quantifying the compounding of these two hazards, much less is known about generating design rainfall events with a high space-time resolution and preserving the dependence with storm surge. This is particularly problematic in areas where there are limited records and multiple flood generating mechanisms. Here we focus on five watersheds in coastal Texas and develop an approach to generate design events for different annual exceedance probabilities (AEPs) subject to different compounding characteristics. We show that tropical cyclones (TCs) exhibit a stronger dependence between the nontidal residuals and precipitation than non-TC events, and we provide approaches to generate design events for both types of storms. Moreover, we propose to infill missing data in water levels to mitigate issues related to small samples. We also quantify the lag between rainfall and storm surge peaks. Our study provides a roadmap for practitioners who need to develop design events with high spatio-temporal resolution for different AEPs, and are dealing with compounding, mixed distributions, short record length, and lag between peak rainfall and storm surge.",,rainfall-storm surge,Regional,US,Coastal Texas,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,3,3,1084-0699,1943-5584,,,,,,,,,,,,,,2025-08-25,WOS:001551642900010,,,Regional-scale
169,J,"Zhou, Chensi; Wang, Guojie; Jiang, Huiyan; Li, Shijie; Shi, Xiao; Hu, Yifan; Cabral, Pedro",,,,"Cabral, Pedro/B-2616-2010; Cabral, Peo/B-2616-2010","Cabral, Peo/0000-0001-8622-6008",,,,,Spatio-temporal patterns of compound dry-hot extremes in China,,,,,,,,ATMOSPHERIC RESEARCH,,,,314.0,,,,,,107795,,,10.1016/j.atmosres.2024.107795,,,,,NOV 2024,,Article,MAR 2025,2025,"Under global warming, the simultaneous occurrence of drought and high temperature is raising growing concerns due to their detrimental impacts on ecosystems, water resources, and food security. Extensive studies have evaluated different characteristics (e.g., spatial extent and frequency) of such compound extremes using percentile-threshold methods based on historical records and climate model projections. Nevertheless, quantitative assessments of projected changes in compound dry-hot extremes based on the daily-scale compound dryhot index which is constructed by copula theory and the latest CMIP6 downscaled projection outputs are rather rare. Based on the NASA Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6), the study first calculated the daily Standardized Compound Dry and Hot Index (SCDHI) by combining Standardized Antecedent Precipitation Evapotranspiration Index (SAPEI) and Standardized Temperature Index (STI) to identify compound dry-hot extremes while exploring its constraints for an accurate evaluation of its spatiotemporal evolution in China from 1961 to 2100. In this study, a reasonable threshold is determined to reduce some dry but no hot (hot but no dry) condition incorrectly identified as compound dry-hot condition. In terms of temporal variation, the study shows that all characteristics (i.e., occurrence, intensity, and area) are projected to increase over the next 80 years under the four Shared Socioeconomic Pathway scenarios (SSP1-2.6, SSP2-4.5, SSP3-7.0, SSP5-8.5). Particularly in the last 30 years of the 21st century, these features escalate significantly and rapidly, and the higher the emission scenario, the greater the escalation. From a spatial distribution perspective, we find that a more frequent occurrence of compound dry-hot days across China under the future SSPs compared to 1961-2020, with more so in Xinjiang, Tibet, Qinghai, Hainan, and Southwest China. These findings emphasize that policy makers should take relevant and timely measures to reduce social and economic losses caused by intensified projected compound dry-hot extremes.",,dry-hot,Regional,China,China,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,6,0,0,0,4,0,6,48,118,0169-8095,1873-2895,,,,,,,,,,,,,,2024-11-30,WOS:001363017000001,,,Regional-scale
174,J,"Li, An; Guo, Chuanyin; Zhang, Jian; Zhao, Qiuhong",,,,,,,,,,A copula-based human-artificial intelligence collaborative decision-making approach for multi-hazard risk assessment,,,,,,,,COMPUTERS & INDUSTRIAL ENGINEERING,,,,210.0,,,,,,111532,,,10.1016/j.cie.2025.111532,,,,,SEP 2025,,Article,DEC 2025,2025,"Accurately quantifying multi-hazard coupling risks is essential for developing effective emergency management strategies. This study proposes an integrated decision-making framework that synergizes human intelligence (HI) and artificial intelligence (AI) to address the challenges of nonlinear risk assessment. Leveraging multivariate dependency modeling and guided by explainable AI (XAI), the framework is empirically validated in the Greater Bay Area (GBA), a region prone to compound hazards. Results show that HI-AI collaboration substantially enhances the model's ability to capture intricate hazard interdependencies, improves AUC by 9.41% through the integration of expert-derived rules, and benefits greatly from diverse expert meta-knowledge. This approach offers a robust and interpretable tool for managing multi-hazard risks and improving decision-making in complex emergency scenarios.","1 HI-AI collaboration improves modeling of complex hazard interactions, reducing coupling complexity and uncertainty.
The framework enhances emergency decision-making by integrating human expertise with AI and big data analytics.",rainfall-storm surge,Regional,China,Guangdong-Hong Kong-Macao Greater Bay Area,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,12,12,0360-8352,1879-0550,,,,,,,,,,,,,,2025-09-28,WOS:001577747300001,,,Regional-scale
176,J,"Fan, Xuanmei; Wang, Xin; Fang, Chengyong; Jansen, John D.; Dai, Lanxin; Tanyas, Hakan; Zang, Nan; Tang, Ran; Xu, Qiang; Huang, Runqiu",,,,"Tanyas, Hakan/AAM-4018-2021; Wang, Xin/D-1178-2018; Fan, Xuanmei/C-5219-2015","Wang, Xin/0000-0001-6653-2585; Jansen, John D/0000-0002-0669-5101;",,,,,Deep learning can predict global earthquake-triggered landslides,,,,,,,,NATIONAL SCIENCE REVIEW,,,,12.0,7,,,,,nwaf179,,,10.1093/nsr/nwaf179,,,,,,,Article,JUL 2025,2025,"Earthquake-triggered (coseismic) landsliding is among the most lethal of disasters, and rapid response is crucial to prevent cascading hazards that further threaten lives and infrastructure. Current prediction approaches are limited by oversimplified physical models, regionally focused databases, and retrospective statistical methods, which impede timely and accurate hazard assessments. To overcome these constraints, we developed the first comprehensive global database of similar to 400 000 landslides associated with 38 of the most catastrophic earthquakes over the past 50 years. Leveraging this extensive dataset, we developed advanced deep-learning models that predict the probability of landsliding for any earthquake worldwide with an average spatial accuracy of similar to 82% in less than a minute, without relying on prior local knowledge. Our framework enables swift disaster evaluation during the critical early hours following an earthquake while also enhancing pre-event hazard planning. This study offers a scalable and efficient tool to mitigate the catastrophic impacts of earthquake-triggered landslides, representing a transformative advance in global geohazard prediction.",1 deep learning,earthquake-triggered landslide,Regional,Regional,five major earthquake events,Data-driven methods,Deep learning,fully convolutional regression network,,,,,,,,,,4,1,0,0,1,0,5,54,54,2095-5138,2053-714X,,,,,,,,,,,,,,2025-06-18,WOS:001507546100001,40520459.0,,Regional-scale
182,J,"Blackshaw, Christine Y.; Lin, Ning; Begmohammadi, Amirhosein; Bou-Zeid, Elie",,,,"Bou-Zeid, Elie/A-9796-2008",,,,,,Investigating the interaction of tropical cyclone-heatwave compound hazards in urban environments,,,,,,,,URBAN CLIMATE,,,,64.0,,,,,,102667,,,10.1016/j.uclim.2025.102667,,,,,,,Article,DEC 2025,2025,"While tropical cyclone (TC) and heatwave (HW) compound hazard extremes are rare in the historical record, they have been recently emerging and are expected to become more frequent under future climate projections. Joint TC-HW hazards can exacerbate heat stress felt by residents, particularly in densely populated urban communities or areas suffering from storm-related power outages. The Princeton Urban Canopy Model (PUCM) has been used to evaluate heatwave conditions in urban environments, but has yet to be used to model joint TC-HW conditions. In this study, we model joint TC-HW hazards by adjusting the surface energy and water budgets of the PUCM to account for TC flood and extreme wind hazards. We investigate joint hazard interactions during Hurricane Laura (2020) using the Weather Research and Forecasting model (WRF) to simulate both Laura's wind field to drive subsequent hydrodynamic modeling of inundation and post-storm atmospheric conditions. The WRF and hydrodynamic modeling results are then used to drive the PUCM to assess the interaction of joint flooding, wind, and heat and their impacts on the city of Lake Charles in Louisiana. Results show that accounting for TC inundation up to a week after landfall can cause over 3 degrees C reductions in daytime heat stress and 1.5 degrees C increases in nighttime heat stress compared to simulations that ignore the presence of flooding. Accounting for defoliation from extreme TC winds can increase maximum nighttime heat stress by more than 4 degrees C.","1 urban-level, flood-wind-heat
Fig. 4. Satellite map of Lake Charles (left) and the PUCM grid cells (right), colored by their corre- sponding local climate zones (LCZ).
See method sheet",tropical cyclone-heatwave,City,US,Lake Charles,Physics-based methods,Atmospheric model | Hydrodynamic model | Urban canopy model,Weather and Research Forecasting (WRF) model | ADCIRC+SFINCS | Princeton Urban Canopy Model,,,,,,,,,,0,0,0,0,0,0,0,0,0,2212-0955,,,,,,,,,,,,,,,2025-11-15,WOS:001611170300001,,,City-scale
193,J,"Qiang, Yejia; Xiao, Te; He, Jian; Zhang, Limin",,,,"Zhang, Li-Min/G-9891-2011; Xiao, Te/F-5958-2014; He, Jian/HNK-4762-2023","Xiao, Te/0000-0003-4935-892X;",,,,,Multi-hazard stress testing under extreme rainstorms in the Shenzhen metropolitan area,,,,,,,,GEORISK-ASSESSMENT AND MANAGEMENT OF RISK FOR ENGINEERED SYSTEMS AND GEOHAZARDS,,,,19.0,3,,,467,485,,,,10.1080/17499518.2024.2443477,,,,,DEC 2024,,Article,JUL 3 2025,2025,"A severe rainstorm can trigger numerous natural hazards of multiple types in cities with hilly terrain, such as landslides, debris flows, and flooding. Such compound hazards may pose much greater risks than a single hazard to the safety of residents and infrastructures. This study focuses on a metropolitan area of Shenzhen, China and develops a multi-hazard stress testing method for hazard risk management against extreme rainstorms. The probable maximum precipitation in Shenzhen is first estimated using the storm transposition method considering orographic intensification and moisture maximisation, with the centre peak amount being 1441 mm in 24 hours at Tanglang Mountain. An integrated physically-based multi-hazard simulation model, EDDA, is then utilised to simulate the processes of initiation, propagation and transformation of landslides, debris flows and flooding in a unified manner. Under the designated extreme rainstorms of a 1000-year return period and 85% of probable maximum precipitation, deposit depths of landslides and debris flows can be large in some urban areas near the foot of Tanglang Mountain; flooding can be very extensive in the flat built-up regions, with 21.8% and 31.7% of the study area flooded, respectively. The produced multi-hazard maps can facilitate the design of risk mitigation measures against extreme rainstorms.","1  An integrated physically-based multi-hazard simulation model, EDDA, is then utilised to simulate the processes of initiation, propagation and transformation of landslides, debris flows and flooding in a unified manner. 
EDDA 1.0: integrated simulation of debris flow erosion, deposition and property changes (Erosion–Deposition Debris flow Analysis)",landslide-debris flow-flood,Community,China,Shenzhen,Physics-based methods,Debris flow model,Erosion–Deposition Debris flow Analysis (EDDA),,,,,,,,,,0,0,0,0,0,0,0,6,14,1749-9518,1749-9526,,,,,,,,,,,,,,2024-12-28,WOS:001381217900001,,,Community-scale
198,J,"Zhang, Zheng; Jiang, Yunmu; Yan, Long",,,,,,,,,,Joint Seismic Risk Assessment and Economic Loss Estimation of Coastal RC Frames Subjected to Combined Wind and Offshore Ground Motions,,,,,,,,BUILDINGS,,,,15.0,18,,,,,3309,,,10.3390/buildings15183309,,,,,,,Article,SEP 12 2025,2025,"The dynamic environment of coastal regions subjects infrastructure to multiple interacting natural hazards, with the simultaneous occurrence of windstorms and earthquakes posing a particularly critical challenge. Unlike inland hazards, these coastal threats frequently exhibit irregular statistical behavior and terrain-induced anomalies. This study proposes a novel probabilistic framework to assess compound hazard effects, advancing beyond traditional single-hazard analyses. By integrating maximum entropy theory with bivariate Copula models, a unified return period analysis is developed to capture the joint probability structure of seismic and wind events. The model is calibrated using long-term observational data collected from a representative coastal zone since 2000. For the PGA marginal distribution, our sixth-moment maximum-entropy model achieved an R2 of 0.90, compared with 0.57 for a conventional GEV fit-reflecting a 58% increase in explained variance. Analysis shows the progressive evolution of damage from slight damaged through moderate damaged and severe damaged to collapse for an 18-story reinforced concrete frame structure, and shows that the combined effect of seismic and wind loads results in risk probabilities of aforementioned damage state of approximately 2 x 10-3, 6 x 10-4, 2 x 10-4, and 3 x 10-5, respectively, under a 0.4 g ground motion and a concurrent wind speed of 15 m/s. Furthermore, when both the uncertainty of loss ratios and structural parameters are incorporated, the standard deviation of the economic loss ratio reaches up to 0.015 in the transition region (PGA 0.2-0.4 g), highlighting considerable variability in economic loss assessment, whereas the mean economic loss ratio rapidly saturates above 0.8 with increasing PGA. These findings demonstrate that uncertainty in economic loss is most pronounced within the transition region, while remaining much lower outside this zone. Overall, this study provides a robust framework and quantitative basis for comprehensive risk assessment and resilient design of coastal infrastructure under compound wind and seismic hazards.",,offshore earthquake-strong wind,Regional,Japan,Japan,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,1,1,,2075-5309,,,,,,,,,,,,,,2025-10-02,WOS:001580717600001,,,Regional-scale
199,J,"Rave, Dina Vanessa Gomez; Mendez, Diego Urrea; del Jesus, Manuel",,,,"del Jesus, Manuel/E-8860-2012",,,,,,Multivariate design events for compound flooding analysis in estuaries,,,,,,,,COASTAL ENGINEERING,,,,202.0,,,,,,104850,,,10.1016/j.coastaleng.2025.104850,,,,,AUG 2025,,Article,DEC 15 2025,2025,"Understanding Compound Flood (CF) hazard in estuaries requires moving beyond univariate approaches toward multivariate frameworks that capture the joint behavior of multiple drivers. Although the relevance of such approaches is increasingly recognized, most existing methods remain limited to bivariate analyses. Extending to higher dimensions poses conceptual and computational challenges, particularly in estimating Joint Return Periods (JRP) and defining representative design events. This limitation is especially relevant in estuarine systems, where the hazard may result from the combined action of interacting drivers - including precipitation, river discharge, storm surge, and waves - that rarely occur in isolation. In this context, restricting the analysis to two variables may overlook relevant dependencies, reinforcing the need for models that account for higher-order interactions. This study examines the role of multivariate dependence structures within a six-dimensional case-study, comparing different copula families to evaluate their suitability for CF hazard analysis. Focusing on the Santo & ntilde;a estuary, we assess how model choice influences the estimation of joint events and the selection of representative conditions for design. Among the models explored, vine constructions incorporating extreme-value copulas led to more coherent joint estimates, offering improved stability across dependence scenarios. Rather than seeking a universally optimal model, the analysis illustrates how the choice of dependence structure can influence the representation of joint extremes. The proposed framework supports physically interpretable and statistically consistent multivariate design events for compound hazard analysis in coastal settings.",,compound flood,Regional,Spain,Santoña estuary,Data-driven methods,Multivariate dependence modeling,copula,,,,,,,,,,0,0,0,0,0,0,0,8,8,0378-3839,1872-7379,,,,,,,,,,,,,,2025-10-01,WOS:001579029900001,,,Regional-scale
202,J,"Hemmati, Mona; Lee, Chia-ying; Mandli, Kyle T.; Sobel, Adam H.; Camargo, Suzana J.; Sustiel, Jacqueline",,,,"Sobel, Adam/K-4014-2015; Camargo, Suzana/C-6106-2009",,,,,,Assessment of Caribbean Coastal Hazard Posed by Tropical Cyclones,,,,,,,,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,,,,64.0,11,,,1681,1694,,,,10.1175/JAMC-D-24-0138.1,,,,,,,Article,NOV 2025,2025,"This research provides a comprehensive assessment of the compound hazards to the Caribbean from wind and storm surge posed by tropical cyclones (TCs) under the recent historical climate, integrating the Columbia Hazard model (CHAZ) for TC characteristics with the GeoClaw storm surge simulation model. A large set of synthetic storms, generated by downscaling an observation-based reanalysis using CHAZ, is used to drive GeoClaw so that return period curves for both wind and surge can be generated at a large set of locations across the Caribbean. The analysis reveals that the northern Caribbean islands, particularly the Bahamas and western Cuba, are subject to greater TC-related wind and surge hazards than the eastern Caribbean islands, such as St. Lucia and St. Vincent. This discrepancy is attributed both to the higher frequency of high-intensity TCs and to shallower bathymetry in the northern Caribbean. The relationship between peak wind and peak surge values across the storm set is both nonlinear and relatively weak, although the largest surges do not occur with the weakest storms. The complexity of the wind-surge relationship reflects the region's varying bathymetry and the roles of multiple storm characteristics, such as storm size and track, in determining storm surge. SIGNIFICANCE STATEMENT: This study advances understanding of tropical-cyclone-induced wind and storm surge hazards and their impacts on Caribbean islands. By integrating the Columbia Hazard model (CHAZ) for tropical cyclones with the GeoClaw numerical storm surge model, we provide a detailed assessment of regional variations in hazard, particularly highlighting the heightened threats faced by the northern Caribbean. These insights are critical for enhancing coastal resilience, informing regional disaster preparedness strategies, and guiding policy development. Additionally, the fndings establish a baseline for future research exploring the exacerbating effects of climate change on combined cyclonic hazards.","1 A large set of synthetic storms, generated by downscaling an observation-based reanalysis using CHAZ, is used to drive GeoClaw so that return period curves for both wind and surge can be generated at a large set of locations across the Caribbean. (model A generate input for model B)",tropical cyclone-storm surge,Regional,Regional,northern Caribbean islands,Physics-based methods,Tropical cyclone model | Hydraulic model,Columbia HAZard model | GeoClaw storm surge simulation model,,,,,,,,,,0,0,0,0,0,0,0,0,0,1558-8424,1558-8432,,,,,,,,,,,,,,2025-11-05,WOS:001604413000009,,,Regional-scale
210,J,"Li, Wanchun; Wang, Chengbo; Mo, Junfeng; Hou, Shaoxuan; Dang, Xin; Shi, Honghong; Gong, Yongwei",,,,,"Gong, Yongwei/0000-0001-5439-6635",,,,,Compound Flood Risk Assessment of Extreme Rainfall and High River Water Level,,,,,,,,WATER,,,,17.0,6,,,,,841,,,10.3390/w17060841,,,,,,,Article,MAR 14 2025,2025,"Urban flooding is typically caused by multiple factors, with extreme rainfall and rising water levels in receiving bodies both contributing to increased flood risks. This study focuses on assessing urban flood risks in Jinhua City, Zhejiang Province, China, considering the combined effects of extreme rainfall and high river water levels. Using historical data from Jinhua station (2005-2022), the study constructed a joint probability distribution of rainfall and water levels via a copula function. The findings show that the risk probability of combined rainfall and high water levels is significantly higher than considering each factor separately, indicating that ignoring their interaction could greatly underestimate flood risks. Scenario simulations using the Infoworks ICM model demonstrate that flood areas range from 0.67% to 5.39% under the baseline scenario but increase to 8.98-12.80% when combined with a 50a return period water level. High river water levels play a critical role in increasing both the extent and depth of flooding, especially when low rainfall coincides with high water levels. These findings highlight the importance of considering compound disaster-causing factors in flood risk assessment and can serve as a reference for urban drainage and flood control planning and risk management.","1 copula+physics-based model
compare with ""Quantitative assessment of compound flood disaster in the Xijiang River Basin, considering univariable and multivariable with intra-correlation""",compound flood,City,China,Jinhua,Hybrid methods,Multivariate dependence modeling | Hydrodynamic model,copula | ICM,,,,,,,,,,1,0,0,0,0,0,1,11,20,,2073-4441,,,,,,,,,,,,,,2025-03-31,WOS:001453354800001,,,City-scale
